slug	rank	date	genre	artist	album	year
Emeralds - Does It Look Like I'm Here?	89	June 8, 2010	Drone	Emeralds	Does It Look Like I'm Here?	2010-2014
Arcade Fire - Reflektor	88	October 29, 2013	Indie Rock	Arcade Fire	Reflektor	2010-2014
FKA twigs - LP1	87	August 12, 2014	Alternative R&B	FKA twigs	LP1	2010-2014
Real Estate - Atlas	86	March 4, 2014	Indie Rock	Real Estate	Atlas	2010-2014
Swans - To Be Kind	85	May 13, 2014	Experimental Rock	Swans	To Be Kind	2010-2014
A$AP Rocky - Live. Love. A$AP	84	October 31, 2011	Hip Hop	A$AP Rocky	Live. Love. A$AP	2010-2014
Tame Impala - Innerspeaker	83	May 25, 2010	Psychedelic Rock	Tame Impala	Innerspeaker	2010-2014
Chief Keef - Finally Rich	82	December 18, 2012	Hip Hop	Chief Keef	Finally Rich	2010-2014
Ariel Pink's Haunted Graffiti - Mature Themes	81	August 21, 2012	Psychedelic Pop	Ariel Pink's Haunted Graffiti	Mature Themes	2010-2014
Mac DeMarco - 2	80	October 16, 2012	Singer-Songwriter	Mac DeMarco	2	2010-2014
Big Boi - Sir Lucious Left Foot: The Son of Chico Dusty	79	July 6, 2010	Hip Hop	Big Boi	Sir Lucious Left Foot: The Son of Chico Dusty	2010-2014
Darkside - Psychic	78	October 8, 2013	Art Pop	Darkside	Psychic	2010-2014
Kendrick Lamar - Section.80	77	July 2, 2011	Hip Hop	Kendrick Lamar	Section.80	2010-2014
Jessie Ware - Devotion	76	August 20, 2012	Soul	Jessie Ware	Devotion	2010-2014
The Caretaker - An Empty Bliss Beyond This World	75	June 21, 2011	Ambient	The Caretaker	An Empty Bliss Beyond This World	2010-2014
Caribou - Swim	74	April 20, 2010	Electronic	Caribou	Swim	2010-2014
Cloud Nothings - Attack on Memory	73	January 24, 2012	Indie Rock	Cloud Nothings	Attack on Memory	2010-2014
Danny Brown - OLD	72	October 8, 2013	Hip Hop	Danny Brown	OLD	2010-2014
Girls - Father, Son, Holy Ghost	71	September 13, 2011	Indie Pop	Girls	Father, Son, Holy Ghost	2010-2014
Killer Mike - R.A.P. Music	70	May 15, 2012	Hip Hop	Killer Mike	R.A.P. Music	2010-2014
Blood Orange - Cupid Deluxe	69	November 18, 2013	R&B	Blood Orange	Cupid Deluxe	2010-2014
Erykah Badu - New Amerykah Part Two: Return of the Ankh	68	March 30, 2010	Neo-Soul	Erykah Badu	New Amerykah Part Two: Return of the Ankh	2010-2014
The Weeknd - House of Balloons	67	March 21, 2011	R&B	The Weeknd	House of Balloons	2010-2014
Todd Terje - It's Album Time	66	April 8, 2014	Nu-Disco	Todd Terje	It's Album Time	2010-2014
Crystal Castles - Crystal Castles	65	May 25, 2010	Electronic	Crystal Castles	Crystal Castles	2010-2014
HAIM - Days Are Gone	64	September 30, 2013	Indie Rock	HAIM	Days Are Gone	2010-2014
Four Tet - There Is Love in You	63	January 26, 2010	Electronic	Four Tet	There Is Love in You	2010-2014
The Knife - Shaking the Habitual	62	April 8, 2013	Electronic	The Knife	Shaking the Habitual	2010-2014
Dirty Projectors - Swing Lo Magellan	61	July 10, 2012	Art Pop	Dirty Projectors	Swing Lo Magellan	2010-2014
PJ Harvey - Let England Shake	60	February 15, 2011	Alternative Rock	PJ Harvey	Let England Shake	2010-2014
Miguel - Kaleidoscope Dream	59	October 2, 2012	R&B	Miguel	Kaleidoscope Dream	2010-2014
The-Dream - Love King	58	June 29, 2010	R&B	The-Dream	Love King	2010-2014
tUnE-yArDs - w h o k i l l	57	April 19, 2011	Art Pop	tUnE-yArDs	w h o k i l l	2010-2014
Chance The Rapper - Acid Rap	56	April 30, 2013	Hip Hop	Chance The Rapper	Acid Rap	2010-2014
Andy Stott - Luxury Problems	55	October 29, 2012	Dub Techno	Andy Stott	Luxury Problems	2010-2014
Frank Ocean - Nostalgia, Ultra.	54	February 18, 2011	R&B	Frank Ocean	Nostalgia, Ultra.	2010-2014
Beach House - Bloom	53	May 15, 2012	Dream Pop	Beach House	Bloom	2010-2014
James Blake - James Blake	52	February 8, 2011	Art Pop	James Blake	James Blake	2010-2014
Sky Ferreira - Night Time, My Time	51	October 29, 2013	Synthpop	Sky Ferreira	Night Time, My Time	2010-2014
Ratking - So It Goes	200	April 8, 2014	Hip Hop	Ratking	So It Goes	2010-2019
WU LYF - Go Tell Fire to the Mountain	199	June 21, 2011	Lo-Fi	WU LYF	Go Tell Fire to the Mountain	2010-2019
Jean Grae & Quelle Chris - Everything's Fine	198	March 30, 2018	Hip Hop	Jean Grae & Quelle Chris	Everything's Fine	2010-2019
Fatima Al Qadiri - Genre-Specific Xperience	197	November 18, 2011		Fatima Al Qadiri	Genre-Specific Xperience	2010-2019
Portal - Vexovoid	196	February 19, 2013	Death Metal	Portal	Vexovoid	2010-2019
Downtown Boys - Full Communism	195	May 4, 2015	Hardcore Punk	Downtown Boys	Full Communism	2010-2019
Titus Andronicus - The Monitor	194	March 9, 2010	Indie Rock	Titus Andronicus	The Monitor	2010-2019
Lil Peep - HellBoy	193	September 25, 2016	Hip Hop	Lil Peep	HellBoy	2010-2019
Kelela - Cut 4 Me	192	October 1, 2013	R&B	Kelela	Cut 4 Me	2010-2019
Kate Bush - 50 Words for Snow	191	November 21, 2011	Art Pop	Kate Bush	50 Words for Snow	2010-2019
Huerco S. - For Those Of You Who Have Never (And Also Those Who Have)	190	June 10, 2016	Ambient	Huerco S.	For Those Of You Who Have Never (And Also Those Who Have)	2010-2019
Miranda Lambert - The Weight of These Wings	189	November 18, 2016	Country	Miranda Lambert	The Weight of These Wings	2010-2019
Pusha T - Daytona	188	May 25, 2018	Hip Hop	Pusha T	Daytona	2010-2019
Iceage - Beyondless	187	May 4, 2018	Post-Punk	Iceage	Beyondless	2010-2019
Various Artists - Mono No Aware	186	March 17, 2017	Ambient	Various Artists	Mono No Aware	2010-2019
Hailu Mergia - Lala Belu	185	February 16, 2018	Jazz	Hailu Mergia	Lala Belu	2010-2019
Soccer Mommy - Clean	184	March 2, 2018	Indie Pop	Soccer Mommy	Clean	2010-2019
Elysia Crampton - American Drift	183	August 7, 2015	Electronic	Elysia Crampton	American Drift	2010-2019
G.L.O.S.S. - Trans Day of Revenge	182	June 13, 2016	Hardcore Punk	G.L.O.S.S.	Trans Day of Revenge	2010-2019
Jamila Woods - LEGACY! LEGACY!	181	May 10, 2019	Alternative R&B	Jamila Woods	LEGACY! LEGACY!	2010-2019
CHVRCHES - The Bones of What You Believe	180	September 24, 2013	Synthpop	CHVRCHES	The Bones of What You Believe	2010-2019
Shabazz Palaces - Black Up	179	June 28, 2011	Hip Hop	Shabazz Palaces	Black Up	2010-2019
Savages - Silence Yourself	178	May 6, 2013	Post-Punk	Savages	Silence Yourself	2010-2019
Margo Price - All American Made	177	October 20, 2017	Country	Margo Price	All American Made	2010-2019
Gil Scott-Heron - I'm New Here	176	February 9, 2010	Soul	Gil Scott-Heron	I'm New Here	2010-2019
Jessie Ware - Devotion	175	August 20, 2012	Soul	Jessie Ware	Devotion	2010-2019
Sharon Van Etten - Are We There	174	May 27, 2014	Singer-Songwriter	Sharon Van Etten	Are We There	2010-2019
Hurray For The Riff Raff - Small Town Heroes	173	February 11, 2014	Singer-Songwriter	Hurray For The Riff Raff	Small Town Heroes	2010-2019
Popcaan - Where We Come From	172	June 10, 2014	Dancehall	Popcaan	Where We Come From	2010-2019
JPEGMAFIA - Veteran	171	January 19, 2018	Experimental Hip Hop	JPEGMAFIA	Veteran	2010-2019
Skee Mask - Compro	170	May 15, 2018	Ambient Techno	Skee Mask	Compro	2010-2019
Paramore - After Laughter	169	May 12, 2017	New Wave	Paramore	After Laughter	2010-2019
Julianna Barwick - The Magic Place	168	February 22, 2011	Ambient Pop	Julianna Barwick	The Magic Place	2010-2019
(Sandy) Alex G - DSU	167	June 17, 2014	Lo-Fi	(Sandy) Alex G	DSU	2010-2019
Nicki Minaj - The Pinkprint	166	December 15, 2014	Hip Hop	Nicki Minaj	The Pinkprint	2010-2019
Jay Som - Everybody Works	165	March 10, 2017	Indie Rock	Jay Som	Everybody Works	2010-2019
Hop Along - Painted Shut	164	May 5, 2015	Indie Rock	Hop Along	Painted Shut	2010-2019
Meek Mill - Dreamchasers 2	163	May 7, 2012	Hip Hop	Meek Mill	Dreamchasers 2	2010-2019
Sturgill Simpson - Metamodern Sounds in Country Music	162	May 13, 2014	Country	Sturgill Simpson	Metamodern Sounds in Country Music	2010-2019
The 1975 - I Like It When You Sleep, for You Are So Beautiful Yet So Unaware of It	161	February 26, 2016	Synthpop	The 1975	I Like It When You Sleep, for You Are So Beautiful Yet So Unaware of It	2010-2019
Noname - Room 25	160	September 14, 2018	Hip Hop	Noname	Room 25	2010-2019
Pallbearer - Foundations of Burden	159	August 19, 2014	Doom Metal	Pallbearer	Foundations of Burden	2010-2019
Sleigh Bells - Treats	158	May 11, 2010	Noise Pop	Sleigh Bells	Treats	2010-2019
The 1975 - A Brief Inquiry Into Online Relationships	157	November 30, 2018	Art Pop	The 1975	A Brief Inquiry Into Online Relationships	2010-2019
Jenny Lewis - The Voyager	156	July 29, 2014	Pop Rock	Jenny Lewis	The Voyager	2010-2019
21 Savage & Metro Boomin - Savage Mode	155	July 14, 2016	Hip Hop	21 Savage & Metro Boomin	Savage Mode	2010-2019
Mica Levi - Under the Skin	154	March 17, 2014	Drone	Mica Levi	Under the Skin	2010-2019
Purple Mountains - Purple Mountains	153	July 12, 2019	Indie Rock	Purple Mountains	Purple Mountains	2010-2019
Arctic Monkeys - AM	152	September 9, 2013	Indie Rock	Arctic Monkeys	AM	2010-2019
Lady Gaga - The Fame Monster	151	November 23, 2009	Pop	Lady Gaga	The Fame Monster	2010-2019
Wavves - King of the Beach	50	August 3, 2010	Indie Rock	Wavves	King of the Beach	2010
Wild Nothing - Gemini	49	May 25, 2010	Dream Pop	Wild Nothing	Gemini	2010
Forest Swords - Dagger Paths	48	March 1, 2010	Neo-Psychedelia	Forest Swords	Dagger Paths	2010
Women - Public Strain	47	September 28, 2010	Post-Punk	Women	Public Strain	2010
Matthew Dear - Black City	46	August 17, 2010	Electronic	Matthew Dear	Black City	2010
Gil Scott-Heron - I'm New Here	45	February 9, 2010	Soul	Gil Scott-Heron	I'm New Here	2010
Kylesa - Spiral Shadow	44	October 26, 2010	Sludge Metal	Kylesa	Spiral Shadow	2010
Tame Impala - Innerspeaker	43	May 25, 2010	Psychedelic Rock	Tame Impala	Innerspeaker	2010
Drake - Thank Me Later	42	June 15, 2010	Hip Hop	Drake	Thank Me Later	2010
Delorean - Subiza	41	June 8, 2010	Indietronica	Delorean	Subiza	2010
Abe Vigoda - Crush	40	September 28, 2010	Indie Rock	Abe Vigoda	Crush	2010
Best Coast - Crazy for You	39	July 27, 2010	Indie Pop	Best Coast	Crazy for You	2010
Rick Ross - Teflon Don	38	July 20, 2010	Hip Hop	Rick Ross	Teflon Don	2010
Zola Jesus - Stridulum II	37	August 23, 2010	Psychedelic	Zola Jesus	Stridulum II	2010
Emeralds - Does It Look Like I'm Here?	36	June 8, 2010	Drone	Emeralds	Does It Look Like I'm Here?	2010
Gorillaz - Plastic Beach	35	March 9, 2010	Electropop	Gorillaz	Plastic Beach	2010
Crystal Castles - Crystal Castles	34	May 25, 2010	Electronic	Crystal Castles	Crystal Castles	2010
The Tallest Man On Earth - The Wild Hunt	33	April 13, 2010	Folk	The Tallest Man On Earth	The Wild Hunt	2010
Tyler, the Creator - Bastard	32	December 25, 2009	Hip Hop	Tyler, the Creator	Bastard	2010
Woods - At Echo Lake	31	May 4, 2010	Lo-Fi	Woods	At Echo Lake	2010
The-Dream - Love King	30	June 29, 2010	R&B	The-Dream	Love King	2010
The Fresh & Onlys - Play It Strange	29	October 12, 2010	Garage Rock	The Fresh & Onlys	Play It Strange	2010
The National - High Violet	28	May 10, 2010	Indie Rock	The National	High Violet	2010
Four Tet - There Is Love in You	27	January 26, 2010	Electronic	Four Tet	There Is Love in You	2010
Twin Shadow - Forget	26	September 28, 2010	New Wave	Twin Shadow	Forget	2010
Sufjan Stevens - The Age of Adz	25	October 12, 2010	Chamber Pop	Sufjan Stevens	The Age of Adz	2010
Hot Chip - One Life Stand	24	February 9, 2010	Synthpop	Hot Chip	One Life Stand	2010
Das Racist - Sit Down, Man	23	September 14, 2010	Hip Hop	Das Racist	Sit Down, Man	2010
Girls - Broken Dreams Club	22	November 22, 2010	Indie Pop	Girls	Broken Dreams Club	2010
The Walkmen - Lisbon	21	September 14, 2010	Indie Rock	The Walkmen	Lisbon	2010
Oneohtrix Point Never - Returnal	20	June 21, 2010	Drone	Oneohtrix Point Never	Returnal	2010
How to Dress Well - Love Remains	19	October 19, 2010	Dream Pop	How to Dress Well	Love Remains	2010
Erykah Badu - New Amerykah Part Two: Return of the Ankh	18	March 30, 2010	Neo-Soul	Erykah Badu	New Amerykah Part Two: Return of the Ankh	2010
Caribou - Swim	17	April 20, 2010	Electronic	Caribou	Swim	2010
Sleigh Bells - Treats	16	May 11, 2010	Noise Pop	Sleigh Bells	Treats	2010
Robyn - Body Talk	15	November 22, 2010	Electropop	Robyn	Body Talk	2010
Flying Lotus - Cosmogramma	14	May 4, 2010	IDM	Flying Lotus	Cosmogramma	2010
No Age - Everything in Between	13	September 28, 2010	Indie Rock	No Age	Everything in Between	2010
Janelle Monáe - The ArchAndroid	12	May 18, 2010	R&B	Janelle Monáe	The ArchAndroid	2010
Arcade Fire - The Suburbs	11	August 3, 2010	Indie Rock	Arcade Fire	The Suburbs	2010
Titus Andronicus - The Monitor	10	March 9, 2010	Indie Rock	Titus Andronicus	The Monitor	2010
Ariel Pink's Haunted Graffiti - Before Today	9	June 8, 2010	Psychedelic Pop	Ariel Pink's Haunted Graffiti	Before Today	2010
James Blake - Klavierwerke EP	8	October 10, 2010	Dubstep	James Blake	Klavierwerke EP	2010
James Blake - CMYK EP	8	May 31, 2010	Dubstep	James Blake	CMYK EP	2010
James Blake - The Bells Sketch EP	8	March 15, 2010	Dubstep	James Blake	The Bells Sketch EP	2010
Joanna Newsom - Have One on Me	7	February 23, 2010	Indie Folk	Joanna Newsom	Have One on Me	2010
Vampire Weekend - Contra	6	January 12, 2010	Indie Rock	Vampire Weekend	Contra	2010
Beach House - Teen Dream	5	January 26, 2010	Dream Pop	Beach House	Teen Dream	2010
Big Boi - Sir Lucious Left Foot: The Son of Chico Dusty	4	July 6, 2010	Hip Hop	Big Boi	Sir Lucious Left Foot: The Son of Chico Dusty	2010
Deerhunter - Halcyon Digest	3	September 28, 2010	Indie Rock	Deerhunter	Halcyon Digest	2010
LCD Soundsystem - This Is Happening	2	May 18, 2010	Dance Punk	LCD Soundsystem	This Is Happening	2010
Kanye West - My Beautiful Dark Twisted Fantasy	1	November 22, 2010	Hip Hop	Kanye West	My Beautiful Dark Twisted Fantasy	2010
Youth Lagoon - The Year of Hibernation	50	September 27, 2011	Dream Pop	Youth Lagoon	The Year of Hibernation	2011
Wild Flag - Wild Flag	49	September 13, 2011	Indie Rock	Wild Flag	Wild Flag	2011
Toro y Moi - Underneath The Pine	48	February 22, 2011	Chillwave	Toro y Moi	Underneath The Pine	2011
Sepalcure - Sepalcure	47	November 21, 2011	Dubstep	Sepalcure	Sepalcure	2011
Cults - Cults	46	June 7, 2011	Indie Pop	Cults	Cults	2011
Kendrick Lamar - Section.80	45	July 2, 2011	Hip Hop	Kendrick Lamar	Section.80	2011
Colin Stetson - New History Warfare Vol. 2: Judges	44	February 22, 2011	Experimental	Colin Stetson	New History Warfare Vol. 2: Judges	2011
Lykke Li - Wounded Rhymes	43	March 1, 2011	Indie Pop	Lykke Li	Wounded Rhymes	2011
SBTRKT - SBTRKT	42	June 28, 2011	Dubstep	SBTRKT	SBTRKT	2011
Liturgy - Aesthethica	41	May 10, 2011	Black Metal	Liturgy	Aesthethica	2011
AraabMuzik - Electronic Dream	40	June 14, 2011	Hip Hop	AraabMuzik	Electronic Dream	2011
The War on Drugs - Slave Ambient	39	August 16, 2011	Indie Rock	The War on Drugs	Slave Ambient	2011
Sandro Perri - Impossible Spaces	38	October 18, 2011	Experimental	Sandro Perri	Impossible Spaces	2011
Iceage - New Brigade	37	January 7, 2011	Post-Punk	Iceage	New Brigade	2011
Kate Bush - 50 Words for Snow	36	November 21, 2011	Art Pop	Kate Bush	50 Words for Snow	2011
Frank Ocean - Nostalgia, Ultra.	35	February 18, 2011	R&B	Frank Ocean	Nostalgia, Ultra.	2011
Katy B - On a Mission	34	April 5, 2011	Dance Pop	Katy B	On a Mission	2011
Fucked Up - David Comes to Life	33	June 7, 2011	Hardcore Punk	Fucked Up	David Comes to Life	2011
Panda Bear - Tomboy	32	April 12, 2011	Psychedelic Pop	Panda Bear	Tomboy	2011
Ty Segall - Goodbye Bread	31	June 21, 2011	Garage Rock	Ty Segall	Goodbye Bread	2011
Tim Hecker - Ravedeath, 1972	30	February 15, 2011	Drone	Tim Hecker	Ravedeath, 1972	2011
DJ Quik - Book of David	29	April 19, 2011	Hip Hop	DJ Quik	Book of David	2011
Cut Copy - Zonoscope	28	February 8, 2011	Synthpop	Cut Copy	Zonoscope	2011
Beyoncé - 4	27	June 28, 2011	Pop	Beyoncé	4	2011
The Field - Looping State of Mind	26	October 11, 2011	Minimal Techno	The Field	Looping State of Mind	2011
Gang Gang Dance - Eye Contact	25	May 10, 2011	Experimental Rock	Gang Gang Dance	Eye Contact	2011
Julianna Barwick - The Magic Place	24	February 22, 2011	Ambient Pop	Julianna Barwick	The Magic Place	2011
Bill Callahan - Apocalypse	23	April 5, 2011	Singer-Songwriter	Bill Callahan	Apocalypse	2011
The Caretaker - An Empty Bliss Beyond This World	22	June 21, 2011	Ambient	The Caretaker	An Empty Bliss Beyond This World	2011
Kanye West & Jay-Z - Watch the Throne	21	August 8, 2011	Hip Hop	Kanye West & Jay-Z	Watch the Throne	2011
Nicolas Jaar - Space Is Only Noise	20	January 31, 2011	Microhouse	Nicolas Jaar	Space Is Only Noise	2011
Danny Brown - XXX	19	August 15, 2011	Hip Hop	Danny Brown	XXX	2011
Atlas Sound - Parallax	18	November 8, 2011	Experimental	Atlas Sound	Parallax	2011
Clams Casino - Instrumental	17	March 2, 2011	Electronic	Clams Casino	Instrumental	2011
Kurt Vile - Smoke Ring for My Halo	16	March 8, 2011	Folk Rock	Kurt Vile	Smoke Ring for My Halo	2011
Fleet Foxes - Helplessness Blues	15	May 3, 2011	Indie Folk	Fleet Foxes	Helplessness Blues	2011
Shabazz Palaces - Black Up	14	June 28, 2011	Hip Hop	Shabazz Palaces	Black Up	2011
EMA - Past Life Martyred Saints	13	May 10, 2011	Experimental	EMA	Past Life Martyred Saints	2011
James Blake - James Blake	12	February 8, 2011	Art Pop	James Blake	James Blake	2011
St. Vincent - Strange Mercy	11	September 13, 2011	Art Pop	St. Vincent	Strange Mercy	2011
The Weeknd - House of Balloons	10	March 21, 2011	R&B	The Weeknd	House of Balloons	2011
Real Estate - Days	9	October 18, 2011	Indie Rock	Real Estate	Days	2011
Drake - Take Care	8	November 15, 2011	Hip Hop	Drake	Take Care	2011
tUnE-yArDs - w h o k i l l	7	April 19, 2011	Art Pop	tUnE-yArDs	w h o k i l l	2011
Oneohtrix Point Never - Replica	6	November 8, 2011	Drone	Oneohtrix Point Never	Replica	2011
Girls - Father, Son, Holy Ghost	5	September 13, 2011	Indie Pop	Girls	Father, Son, Holy Ghost	2011
PJ Harvey - Let England Shake	4	February 15, 2011	Alternative Rock	PJ Harvey	Let England Shake	2011
M83 - Hurry Up, We're Dreaming	3	October 18, 2011	Dream Pop	M83	Hurry Up, We're Dreaming	2011
Destroyer - Kaputt	2	January 25, 2011	Sophisti-Pop 	Destroyer	Kaputt	2011
Bon Iver - Bon Iver, Bon Iver	1	June 21, 2011	Indie Folk	Bon Iver	Bon Iver, Bon Iver	2011
Lambchop - Mr. M	50	February 21, 2012	Alt-Country	Lambchop	Mr. M	2012
Crystal Castles - (III)	49	November 12, 2012	Electronic	Crystal Castles	(III)	2012
Peaking Lights - Lucifer	48	June 19, 2012	Electronic	Peaking Lights	Lucifer	2012
Pallbearer - Sorrow and Extinction	47	February 21, 2012	Doom Metal	Pallbearer	Sorrow and Extinction	2012
Rustie - Essential Mix	46	April 7, 2012	Dubstep	Rustie	Essential Mix	2012
El-P - Cancer 4 Cure	45	May 22, 2012	Hip Hop	El-P	Cancer 4 Cure	2012
METZ - METZ	44	October 9, 2012	Noise Rock	METZ	METZ	2012
Mac DeMarco - 2	43	October 16, 2012	Singer-Songwriter	Mac DeMarco	2	2012
Rick Ross - Rich Forever	42	January 6, 2012	Hip Hop	Rick Ross	Rich Forever	2012
Dum Dum Girls - End of Daze	41	September 25, 2012	Lo-Fi	Dum Dum Girls	End of Daze	2012
DIIV - Oshin	40	June 26, 2012	Shoegaze	DIIV	Oshin	2012
Hot Chip - In Our Heads	39	June 11, 2012	Synthpop	Hot Chip	In Our Heads	2012
Lotus Plaza - Spooky Action at a Distance	38	April 2, 2012	Neo-Psychedelia	Lotus Plaza	Spooky Action at a Distance	2012
Future - Pluto	37	April 17, 2012	Hip Hop	Future	Pluto	2012
Sharon Van Etten - Tramp	36	February 7, 2012	Singer-Songwriter	Sharon Van Etten	Tramp	2012
TNGHT - TNGHT	35	July 24, 2012	Electronic	TNGHT	TNGHT	2012
